"","Gender","LateForSchool","PossessionsOwnRoom","ParentsBelieveStudyingMathematicsIsImportant","WorryThatMathsWillBeDifficult","StudyMathsMoreThan2ExtraHoursADay","FamiliarityWithMathsConceptsLinearEquation","MathsTeachingTeacherHelps","ThinksTeachersTreatStudentsFair","MakeFriendsEasily","ThinksSchoolIsWasteOfTime","CouldPerformWellIfIWanted","MathScore","ReadScore","ScienceScore"
"381793","Female","Three or four times  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,626.4294,614.8794,655.0168
"381794","Female","One or two times  ","Yes","Disagree","Agree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Strongly agree",430.9939,507.727,486.796
"381795","Male","Five or more times  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Every Lesson","Disagree","Agree","Disagree","Strongly agree",414.7141,390.3686,384.7818
"381796","Female","None  ","No","Strongly agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,525.3233,596.5308,529.3174
"381797","Female","None  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Every Lesson","Disagree","Strongly agree","Disagree","Strongly agree",494.0879,519.8799,521.0183
"381798","Male","None  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,569.5669,594.223,613.1481
"381799","Male","One or two times  ","Yes","Strongly agree","Agree","Never or rarely",NA,"Some Lessons","Strongly disagree","Disagree","Disagree","Strongly agree",590.9098,555.6495,550.0186
"381800","Male","None  ","Yes","Agree","Agree","Never or rarely",NA,"Some Lessons","Agree","Disagree",NA,"Agree",374.8325,448.269,480.9213
"381801","Male","One or two times  ","No",NA,"Strongly disagree",NA,"Heard of it a few times","Never or Hardly Ever","Disagree","Strongly agree","Disagree","Strongly agree",502.6562,486.7624,553.9351
"381802","Female","None  ","Yes","Agree","Strongly disagree","Sometimes",NA,"Every Lesson","Agree","Disagree","Strongly disagree","Strongly agree",595.0382,571.1924,593.7523
"381803","Female","One or two times  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,400.2259,454.5082,415.0877
"381804","Female","None  ","Yes","Strongly agree","Agree","Never or rarely",NA,"Every Lesson","Agree","Agree","Strongly disagree","Strongly agree",477.8081,549.5871,565.9642
"381805","Female","None  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,435.1223,456.8117,411.078
"381806","Male","One or two times  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Every Lesson","Strongly agree","Agree","Strongly disagree","Strongly agree",566.6069,554.6872,587.4114
"381807","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,471.1092,494.2237,433.7374
"381808","Female","Five or more times  ","Yes","Disagree","Agree","Never or rarely",NA,"Every Lesson","Disagree","Agree","Agree","Agree",499.5404,601.4556,521.671
